City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Meulaboh,ID,2022-10-02 12:52:57,4.1363,96.1285,78.24199999999999,87,100,4.13
109,Nadym,RU,2022-10-02 12:52:58,65.5333,72.5167,36.62600000000009,67,100,6.78
110,Tshane,BW,2022-10-02 12:52:58,-24.0196,21.8684,98.09600000000005,8,0,3.29
111,Ola,RU,2022-10-02 12:52:59,59.5833,151.2833,32.14400000000008,60,44,3.78
112,Lavrentiya,RU,2022-10-02 12:52:59,65.5833,-171.0,33.8,82,13,3.88
113,Komsomolskiy,UZ,2022-10-02 12:53:00,40.4272,71.7189,72.32000000000006,33,94,3.09
114,Vardo,NO,2022-10-02 12:53:00,70.3705,31.1107,40.98200000000001,87,100,5.14
115,Sao Jose Da Coroa Grande,BR,2022-10-02 12:53:00,-8.8978,-35.1478,80.38399999999999,62,15,4.41
116,Qui Nhon,VN,2022-10-02 12:53:01,13.7667,109.2333,78.27800000000008,85,83,0.86
117,Kodiak,US,2022-10-02 12:52:52,57.79,-152.4072,44.11400000000003,87,100,2.06
118,Eldorado,BR,2022-10-02 12:53:01,-23.7869,-54.2836,77.09000000000003,75,0,1.84
119,Varnavino,RU,2022-10-02 12:53:02,57.4035,45.0916,57.36200000000006,79,92,5.42
120,Salym,RU,2022-10-02 12:53:03,60.0625,71.4789,34.556000000000026,67,94,3.28
121,Araouane,ML,2022-10-02 12:53:04,18.9048,-3.5265,98.22200000000004,26,98,5.66
122,Half Moon Bay,US,2022-10-02 12:53:04,37.4636,-122.4286,63.104000000000056,84,100,2.57
123,Jacqueville,CI,2022-10-02 12:53:05,5.2052,-4.4146,77.81000000000009,81,21,3.91
124,Gigmoto,PH,2022-10-02 12:53:05,13.7796,124.39,81.46400000000003,84,100,2.56
125,Nouadhibou,MR,2022-10-02 12:53:06,20.931,-17.0347,78.78200000000001,61,0,5.14
126,Sao Joao Da Barra,BR,2022-10-02 12:53:06,-21.6403,-41.0511,75.29000000000002,75,98,1.54
127,Smithers,CA,2022-10-02 12:49:58,54.7804,-127.1743,52.12400000000001,93,100,0.0
128,Bambous Virieux,MU,2022-10-02 12:53:07,-20.3428,57.7575,75.45200000000008,64,75,5.66
