City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Joshimath,IN,30.57,79.57,62.26,81,13,0.91,few clouds
175,Isla Mujeres,MX,21.23,-86.73,84.25,48,5,2.82,clear sky
176,Toropets,RU,56.5,31.64,45.7,97,100,2.64,overcast clouds
177,General Pico,AR,-35.66,-63.76,54.05,84,100,4.61,light rain
178,Bredasdorp,ZA,-34.53,20.04,61.72,58,19,6.41,few clouds
179,Okha,RU,53.57,142.95,33.84,70,74,10.08,light snow
180,Guerrero Negro,MX,27.98,-114.06,71.4,74,56,2.93,broken clouds
181,Pucallpa,PE,-8.38,-74.55,91.44,55,20,1.54,few clouds
182,Codrington,AU,-38.27,141.97,53.35,91,100,7.79,overcast clouds
183,Meulaboh,ID,4.14,96.13,75.24,92,100,2.75,light rain
184,Leningradskiy,RU,69.38,178.42,24.53,84,100,5.09,overcast clouds
185,Waipawa,NZ,-41.41,175.52,35.98,82,100,8.8,overcast clouds
186,Taoudenni,ML,22.68,-3.98,109.0,7,1,2.62,clear sky
187,Muzhi,RU,65.37,64.67,40.19,93,100,3.15,light rain
188,Mocorito,MX,25.48,-107.92,84.2,75,0,0.6,clear sky
189,Awjilah,LY,29.11,21.29,84.83,32,5,4.39,clear sky
190,Tahta,EG,26.77,31.5,89.94,23,0,5.72,clear sky
191,Mount Pleasant,US,32.79,-79.86,73.98,46,0,4.63,clear sky
192,Chitrakonda,IN,18.12,82.08,73.4,93,51,1.72,broken clouds
193,Severo-Kurilsk,RU,50.68,156.12,43.47,61,49,10.07,scattered clouds
194,Shelby,US,35.2,-89.87,76.14,43,0,0.89,clear sky
195,Moranbah,AU,-22.0,148.05,65.71,79,76,3.88,broken clouds
196,Wuwei,CN,37.93,102.64,50.5,68,99,1.61,overcast clouds
197,Mehamn,NO,71.04,27.85,42.75,75,0,8.23,clear sky
198,Ampanihy,MG,-24.7,44.75,76.28,48,0,4.52,clear sky
199,Hasaki,JP,35.73,140.83,59.4,86,100,10.21,light rain
200,Lokoja,NG,7.8,6.74,83.48,78,98,1.14,light rain
201,Souillac,MU,-20.52,57.52,71.98,73,40,3.6,scattered clouds
202,Waitati,NZ,-45.75,170.57,31.96,90,96,5.62,light snow
203,Ketchikan,US,55.34,-131.65,55.87,94,100,3.09,overcast clouds
204,Naryan-Mar,RU,67.67,53.09,42.85,96,98,3.21,overcast clouds
205,Dhidhdhoo,MV,6.88,73.1,81.59,78,92,7.43,overcast clouds
206,Okhotsk,RU,59.38,143.3,31.42,54,100,4.88,overcast clouds
207,Giraltovce,SK,49.11,21.52,56.03,72,100,3.34,overcast clouds
208,Rocha,UY,-34.48,-54.33,70.36,51,55,6.11,broken clouds
209,Inuvik,CA,68.35,-133.72,30.96,100,100,2.06,mist
210,Petlad,IN,22.47,72.8,84.18,51,77,3.02,broken clouds
211,Gat,IL,31.61,34.76,80.4,100,0,4.34,clear sky
212,Cacu,BR,-18.56,-51.13,95.59,34,1,1.22,clear sky
