City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
118,Hilo,US,78.28,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
119,Raul Soares,BR,86.77,broken clouds,-20.1,-42.45,Hotel Cecilia
120,Ilheus,BR,83.82,broken clouds,-14.79,-39.05,Barravento Hotel
124,Presidencia Roque Saenz Pena,AR,75.43,broken clouds,-26.79,-60.44,Hotel Aconcagua
133,Katunayaka,LK,80.6,scattered clouds,7.16,79.88,Full Moon Garden Hotel
135,Asyut,EG,87.35,clear sky,27.18,31.18,فندق ميس إيجيبت Miss Egypt Hotel
136,Kalmunai,LK,81.39,overcast clouds,7.42,81.82,VS Villa
137,Abnub,EG,87.22,clear sky,27.27,31.15,حارة علام
138,Touros,BR,85.89,clear sky,-5.2,-35.46,INN NEW HORIZON
141,Semme,FR,75.61,clear sky,46.2,1.5,Inter-Hotel Alexia
142,Arraial Do Cabo,BR,75.06,overcast clouds,-22.97,-42.03,Pousada Porto Praia
143,Itarema,BR,88.21,scattered clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
144,Cumana,VE,84.65,overcast clouds,10.46,-64.18,Posada Acuarela Los Roques
146,Mecca,SA,89.8,clear sky,21.43,39.83,"Makkah Clock Royal Tower, A Fairmont Hotel"
149,Hambantota,LK,79.39,overcast clouds,6.12,81.12,Bungalow 63
150,Padang,ID,78.85,overcast clouds,-0.95,100.35,Mercure Padang
159,Aden,YE,87.24,broken clouds,12.78,45.04,Sama Emirate Hotel
160,Samarai,PG,80.69,overcast clouds,-10.62,150.67,Nuli Sapi
163,Norsup,VU,77.72,scattered clouds,-16.07,167.38,Nabelchel Bungalows
166,Caravelas,BR,83.95,scattered clouds,-17.71,-39.25,Pousada dos Navegantes
167,Alofi,NU,76.8,overcast clouds,-19.06,-169.92,Taloa Heights
168,Guatire,VE,88.2,broken clouds,10.48,-66.54,Parque Residencial Canaima I
172,Okmulgee,US,77.11,clear sky,35.62,-95.96,"Holiday Inn Express & Suites Okmulgee, an IHG Hotel"
175,Isla Mujeres,MX,84.25,clear sky,21.23,-86.73,Hotel La Joya Isla Mujeres
183,Meulaboh,ID,75.24,light rain,4.14,96.13,Kost Pria
188,Mocorito,MX,84.2,clear sky,25.48,-107.92,Casa de Don Eustaquio
189,Awjilah,LY,84.83,clear sky,29.11,21.29,المنزل
190,Tahta,EG,89.94,clear sky,26.77,31.5,shady waheed
194,Shelby,US,76.14,clear sky,35.2,-89.87,Days Inn by Wyndham Memphis - I40 and Sycamore View
198,Ampanihy,MG,76.28,clear sky,-24.7,44.75,HOTEL SHARRON AMPANIHY OUEST
205,Dhidhdhoo,MV,81.59,overcast clouds,6.88,73.1,Dhidhoo beach
210,Petlad,IN,84.18,broken clouds,22.47,72.8,Nagina masjid
211,Gat,IL,80.4,clear sky,31.61,34.76,OlusHome
218,Salalah,OM,80.69,few clouds,17.02,54.09,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
224,Jalu,LY,85.03,clear sky,29.03,21.55,صاحبة الفخامة
231,Omboue,GA,79.75,overcast clouds,-1.57,9.26,Hotel Olako
233,Port-Gentil,GA,82.36,scattered clouds,-0.72,8.78,Fengshui Residence
235,Amahai,ID,78.19,broken clouds,-3.33,128.92,HOTEL ISABELA
236,Kedougou,SN,87.73,light rain,12.56,-12.17,Relais de Kédougou
238,Kavieng,PG,82.44,scattered clouds,-2.57,150.8,Nusa Island Retreat
241,Akyab,MM,82.17,clear sky,20.15,92.9,ဟိုတယ် မန်မိုရီ
242,Santa Fe,AR,79.02,overcast clouds,-31.63,-60.7,Conquistador Hotel
243,Yenagoa,NG,80.85,moderate rain,4.92,6.26,Aridolf Resort Wellness and Spa
247,Port Blair,IN,81.23,overcast clouds,11.67,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
250,Lorengau,PG,81.37,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
